"","year","MORTGAGE30US","LASTHPI","LAUR","FIPS","Pop_1990","Water_area_1990","year.y","Population.Data","X.x","d2w","c2w","g2w","t2w","we2w","s2w","b2w","area.x","pop_g","X.y","Developed_pixels","Cropland_pixels","Grass_pixels","Tree_pixels","Water_pixels","Wetland_pixels","Snow_pixels","Barren_pixels","Land_perc","Water_perc","Wetland_perc","Land_area","Water_area","Wetland_area","area.y","water_change_perc","water_change","area","pop_g_perc","Developed_area"
"1",1990,10.12942308,102.7075,6.233333333,22023,9214,1073469095.34227,1990,9214,6,143100.052701563,189000.069605838,6300.0023201946,0,2209500.81372539,0,457200.168379837,4279035375.90335,NA,6,43579,422029,27293,4257,1192743,3048501,0,16080,10.7948247569346,25.0867076581634,64.118467584902,461914370.116005,1073469095.34227,2743651910.44508,4279035375.90335,NA,NA,4279035375.90335,NA,39221114.4445373
"2",1990,10.12942308,102.7075,6.233333333,22045,68259,153478902.694336,1990,68259,43,900.011157534369,60300.7475548027,11700.1450479468,11700.1450479468,482405.980438422,0,315003.905137029,1627572977.19589,NA,43,99454,510972,1419,12124,170530,1007473,0,6420,34.8590902857345,9.42992448539918,55.7109852288663,567357133.586933,153478902.694336,906736940.914623,1627572977.19589,NA,NA,1627572977.19589,NA,89509709.6614232
"3",1990,10.12942308,102.7075,6.233333333,22051,448297,623107384.716627,1990,448297,80,5400.1055977799,21600.4223911196,1800.03519925997,900.017599629984,1312225.66026052,0,69301.3551715088,1351495228.16757,NA,80,264567,15867,305,1396,692328,524556,0,2613,18.962568725227,46.1050377189618,34.9323935558113,256278211.459439,623107384.716627,472109631.991506,1351495228.16757,NA,NA,1351495228.16757,NA,238114956.281306
"4",1990,10.12942308,102.7075,6.233333333,22057,85795,686509040.474415,1990,85795,117,14399.9211417931,49499.7289249138,17099.9063558793,899.995071362069,3830379.02371697,0,188998.964986035,3296358848.16864,NA,117,117312,508701,2037,1781,762792,2261735,0,8283,17.4222371234309,20.8262835478552,61.7514793287139,574299454.967135,686509040.474415,2035550352.72709,3296358848.16864,NA,NA,3296358848.16864,NA,105580221.811627
"5",1990,10.12942308,102.7075,6.233333333,22071,495067,460528437.008562,1990,495067,154,9899.75358570401,8999.77598700365,3599.91039480146,1799.95519740073,424789.426586572,0,14399.6415792058,906160444.803436,NA,154,226967,5198,171,4542,511711,256350,0,1931,23.7179576310745,50.8219531816421,25.4600891872834,214922750.368035,460528437.008562,230709257.426838,906160444.803436,NA,NA,906160444.803436,NA,204265215.644226
"6",1990,10.12942308,102.7075,6.233333333,22075,25513,1466153741.22073,1990,25513,191,57598.9998318853,158397.249537685,10799.8124684785,0,2505556.49268701,0,1260878.10569486,3228108046.06247,NA,191,90695,67972,1783,9138,1629088,1706021,0,82152,7.01841644295592,45.4183602376348,47.5632233194093,226562065.901231,1466153741.22073,1535392238.94051,3228108046.06247,NA,NA,3228108046.06247,NA,81624082.6523884
"7",1990,10.12942308,102.7075,6.233333333,22087,66658,561769134.482716,1990,66658,228,38700.0574871902,0,3600.0053476456,2700.0040107342,320400.475940458,0,249300.370324458,1592484865.56445,NA,228,52548,7183,2894,2968,624187,1068823,0,10822,4.31863458468146,35.2762620625344,60.4051033527841,68773602.1600846,561769134.482716,961942128.921653,1592484865.56445,NA,NA,1592484865.56445,NA,47293270.2520202
"8",1990,10.12942308,102.7075,6.233333333,22089,42492,332398017.913535,1990,42492,265,6300.32635114686,23401.2121614026,0,0,118806.154050198,0,35101.8182421039,1063564391.66345,NA,265,80396,76866,314,2274,369312,651136,0,1379,13.6440837893942,31.2532104796827,55.1027057309231,145113616.752722,332398017.913535,586052756.997194,1063564391.66345,NA,NA,1063564391.66345,NA,72360148.1895431
"9",1990,10.12942308,102.7075,6.233333333,22095,40048,330563893.055654,1990,40048,302,5399.63562453766,13499.0890613442,0,0,21598.5424981507,0,18898.7246858818,900398239.784363,NA,302,64978,86904,136,1269,367318,477460,0,2445,15.5652617165246,36.7130763310712,47.7216619524043,140149342.513417,330563893.055654,429685004.215292,900398239.784363,NA,NA,900398239.784363,NA,58476253.9352013
"10",1990,10.12942308,102.7075,6.233333333,22101,58061,193343525.080229,1990,58061,339,5399.87781317117,178195.967834648,0,0,627285.805963384,0,761382.771657134,1798695699.64877,NA,339,84818,368923,622,8476,214831,1275499,0,45427,25.4311526691738,10.7490958652974,63.8197514655288,457429049.431543,193343525.080229,1147923125.137,1798695699.64877,NA,NA,1798695699.64877,NA,76334472.7262586
"11",1990,10.12942308,102.7075,6.233333333,22103,145156,684884500.155403,1990,145156,376,43200.3280092031,55800.423678554,32400.2460069023,17100.1298369762,54000.4100115039,0,162901.236868037,2891507754.48965,NA,376,295447,166092,358064,710537,760977,914240,0,7405,47.8574198773516,23.6860682490642,28.4565118735842,1383801006.8523,684884500.155403,822822247.481955,2891507754.48965,NA,NA,2891507754.48965,NA,265904318.94448
"12",1990,10.12942308,102.7075,6.233333333,22109,97057,1164780552.65754,1990,97057,413,22500.0454462444,116100.234502621,1800.00363569955,1800.00363569955,13978828.2348427,0,999902.019631101,4099587480.4657,NA,413,135509,203725,6200,1935,1294198,2883714,0,29807,8.28032301461574,28.4121404460243,63.3075365393599,339459085.649307,1164780552.65754,2595347842.15885,4099587480.4657,NA,NA,4099587480.4657,NA,121958346.335005
